Category,Question,Answer
Predefined,What city are we in?,Magdeburg
Predefined,Who is the main character of The Matrix?,Neo
Predefined,Where is your team located?,<Your team's home city>
Predefined,Name the two RoboCup@Home standard platforms.,Pepper and HSR
Predefined,What is the name of your team?,<your team name>
Predefined,From what series do you know Rosie the robot?,The Jetsons
Predefined,Name the big hairy creature in Star Wars.,Chewbacca
Predefined,Where do you store your memories?,<My harddrive/SSD/RAM...>
Predefined,From what series do you know the baby Bam Bam?,The Flintstones
Predefined,Who wrote the three laws of robotics?,Isaac Asimov
Arena,"Where is the stove?"
Arena,"In which room is the Desk?"
Arena,"In which room is the Kitchencounter?"
Arena,"In which room is the Sofa?"
Arena,"How many doors has the Living room?"
Arena,"How many Beds are in the kitchen?"
Arena,"How many couch tables are in the dining room?"
Arena,"Where is the Bar?"
Arena,"Where is the bookshelf?"
Arena,"How many doors has the kitchen?"
Arena,"Where is the Desk?"
Arena,"In which room is the dinner table?"
Arena,"In which room is the Bed?"
Arena,"In which room is the bookshelf?"
Arena,"How many Closets are in the dining room?"
Arena,"In which room is the Bar?"
Arena,"How many Closets are in the bedroom?"
Arena,"How many Desks are in the Living room?"
Arena,"Where is the Closet?"
Arena,"How many doors has the Living room?"
Arena,"In which room is the Bar?"
Arena,"In which room is the Bar?"
Arena,"How many Desks are in the bedroom?"
Arena,"How many doors has the bedroom?"
Arena,"Where is the cabinet?"
Arena,"How many doors has the dining room?"
Arena,"How many desks are in the dining room?"
Arena,"Where is the dinner table?"
Arena,"Where is the Bed?"
Arena,"In which room is the closet?"
Crowd,"Tell me if the waving person was a female?"
Crowd,"Tell me the number of elders in the crowd"
Crowd,"Tell me if the standing person was a man?"
Crowd,"Tell me the number of women in the crowd"
Crowd,"Tell me the number of females in the crowd"
Crowd,"Tell me if the rising right arm person was a girl?"
Crowd,"Tell me if the pointing right person was a male?"
Crowd,"Tell me how many people were wearing yellow"
Crowd,"Tell me if the lying person was a man?"
Crowd,"How many boys are in the crowd?"
Crowd,"How many adults are in the crowd?"
Crowd,"Rising right arm?"
Crowd,"Tell me how many people were wearing white"
Crowd,"Tell me if the pointing right person was a female?"
Crowd,"How many men are in the crowd?"
Crowd,"Tell me how many people were wearing white"
Crowd,"Tell me how many people were wearing black"
Crowd,"Tell me if the sitting person was a female?"
Crowd,"The lying person was boy or girl?"
Crowd,"The sitting person was a man or a woman?"
Crowd,"Tell me the number of males in the crowd"
Crowd,"Tell me the number of women in the crowd"
Crowd,"The lying person was a man or a woman?"
Crowd,"How many elders are in the crowd?"
Crowd,"How many people in the crowd are lying"
Crowd,"Tell me the number of children in the crowd"
Crowd,"Tell me how many people were wearing red"
Crowd,"Tell me if the standing person was a male?"
Crowd,"How many people in the crowd are standing or lying?"
Crowd,"Tell me the number of females in the crowd"
Objects,"Between the Pringles and Bread, which one is smaller?"
Objects,"Do the Tomato pasta and Banana milk belong to the same category?"
Objects,"How many Containers are in the Closet?"
Objects,"Where can I find a Plate?"
Objects,"How many objects are in the desk?"
Objects,"Do the Fork and Egg belong to the same category?"
Objects,"Where can I find a Drink?"
Objects,"Where can I find a Coke?"
Objects,"Where can I find a Basket?"
Objects,"To which category belong the Potato soup?"
Objects,"Between the Pepper and Lemon, which one is smaller?"
Objects,"To which category belong the Pringles?"
Objects,"How many objects are in the Desk?"
Objects,"What objects are stored in the Kitchencounter?"
Objects,"Do the Pear and Pringles belong to the same category?"
Objects,"What objects are stored in the dinner table?"
Objects,"Between the Plate and Cappucino, which one is smaller?"
Objects,"Which is the biggest object?"
Objects,"Where can I find an Apple?"
Objects,"Do the Coke and Water belong to the same category?"
Objects,"How many objects are on the Stove?"
Objects,"Between the Apple and Spoon, which one is smaller?"
Objects,"Do the Party cracker and Spoon belong to the same category?"
Objects,"Where can I find a Spoon?"
Objects,"What's the colour of the Red bowl?"
Objects,"How many objects are in the Closet?"
Objects,"Which is the smallest Cleaning stuff?"
Objects,"What objects are stored in the Bar?"
Objects,"What's the colour of the Pepper?"
Objects,"Where can I find a Snack?"
